theta,A2,b,a,z,status
60,2,7.9,6.3,0.6,NotYet
60,2,7.9,6.3,0.8,NotYet
60,4,8.2,5.9,-1.0,NotYet
60,4,8.3,5.8,-0.8,NotYet
60,4,8.3,5.7,-0.6,NotYet
60,4,8.3,5.7,-0.4,NotYet
60,4,8.2,5.9,-0.2,NotYet
60,4,8.0,6.1,0.0,NotYet
60,4,8.0,6.2,0.2,NotYet
60,4,7.9,6.3,0.4,NotYet
60,4,7.9,6.3,0.6,NotYet
60,4,8.0,6.3,0.8,NotYet
60,6,8.4,5.8,-1.0,NotYet
60,6,8.5,5.7,-0.8,NotYet
60,6,8.5,5.7,-0.6,NotYet
60,6,8.4,5.8,-0.4,NotYet
60,6,8.3,5.9,-0.2,NotYet
60,6,8.1,6.2,0.0,NotYet
60,6,8.0,6.3,0.2,NotYet
60,6,8.0,6.4,0.4,NotYet
60,6,8.0,6.4,0.6,NotYet
60,6,8.1,6.3,0.8,NotYet
60,8,8.7,5.7,-1.0,NotYet
60,8,8.6,5.7,-0.8,NotYet
60,8,8.6,5.7,-0.6,NotYet
60,8,8.5,5.8,-0.4,NotYet
60,8,8.3,6.1,-0.2,NotYet
60,8,8.2,6.2,0.0,NotYet
60,8,8.1,6.3,0.2,NotYet
60,8,8.1,6.4,0.4,NotYet
60,8,8.2,6.3,0.6,NotYet
60,8,8.2,6.3,0.8,NotYet
60,10,8.8,5.7,-1.0,NotYet
60,10,8.9,5.6,-0.8,NotYet
60,10,8.8,5.7,-0.6,NotYet
60,10,8.6,5.9,-0.4,NotYet
60,10,8.4,6.1,-0.2,NotYet
60,10,8.3,6.3,0.0,NotYet
60,10,8.2,6.4,0.2,NotYet
60,10,8.2,6.4,0.4,NotYet
60,10,8.3,6.3,0.6,NotYet
60,10,8.4,6.3,0.8,NotYet
58,-10,8.4,5.9,-1.0,NotYet
58,-10,8.4,6.0,-0.8,NotYet
58,-10,8.5,5.9,-0.6,NotYet
58,-10,8.5,5.8,-0.4,NotYet
58,-10,8.6,5.7,-0.2,NotYet
58,-10,8.6,5.6,0.0,NotYet
58,-10,8.6,5.6,0.2,NotYet
58,-10,8.5,5.7,0.4,NotYet
58,-10,8.3,5.9,0.6,NotYet
58,-10,8.2,6.0,0.8,NotYet
58,-8,8.3,5.9,-1.0,NotYet
58,-8,8.3,5.9,-0.8,NotYet
58,-8,8.3,5.9,-0.6,NotYet
58,-8,8.4,5.8,-0.4,NotYet
58,-8,8.4,5.7,-0.2,NotYet
58,-8,8.5,5.6,0.0,NotYet
58,-8,8.4,5.7,0.2,NotYet
58,-8,8.3,5.8,0.4,NotYet
58,-8,8.2,5.9,0.6,NotYet
58,-8,8.1,6.0,0.8,NotYet
58,-6,8.2,5.9,-1.0,NotYet
58,-6,8.2,5.9,-0.8,NotYet
58,-6,8.3,5.8,-0.6,NotYet
58,-6,8.3,5.8,-0.4,NotYet
58,-6,8.4,5.6,-0.2,NotYet
58,-6,8.4,5.6,0.0,NotYet
58,-6,8.3,5.7,0.2,NotYet
58,-6,8.1,5.9,0.4,NotYet
58,-6,8.1,6.0,0.6,NotYet
58,-6,8.0,6.1,0.8,NotYet
58,-4,8.2,5.9,-1.0,NotYet
58,-4,8.2,5.9,-0.8,NotYet
58,-4,8.2,5.8,-0.6,NotYet
58,-4,8.3,5.7,-0.4,NotYet
58,-4,8.4,5.6,-0.2,NotYet
58,-4,8.3,5.7,0.0,NotYet
58,-4,8.2,5.8,0.2,NotYet
58,-4,8.1,5.9,0.4,NotYet
58,-4,8.0,6.1,0.6,NotYet
58,-4,8.0,6.1,0.8,NotYet
58,-2,8.2,5.9,-1.0,NotYet
58,-2,8.2,5.8,-0.8,NotYet
58,-2,8.2,5.8,-0.6,NotYet
58,-2,8.3,5.7,-0.4,NotYet
58,-2,8.3,5.6,-0.2,NotYet
58,-2,8.3,5.7,0.0,NotYet
58,-2,8.1,5.9,0.2,NotYet
58,-2,8.0,6.0,0.4,NotYet
58,-2,8.0,6.1,0.6,NotYet
58,-2,8.0,6.1,0.8,NotYet
58,0,8.3,5.8,-1.0,NotYet
58,0,8.3,5.8,-0.8,NotYet
58,0,8.3,5.7,-0.6,NotYet
58,0,8.4,5.6,-0.4,NotYet
58,0,8.3,5.7,-0.2,NotYet
58,0,8.2,5.8,0.0,NotYet
58,0,8.1,6.0,0.2,NotYet
58,0,8.0,6.1,0.4,NotYet
58,0,8.0,6.1,0.6,NotYet
58,0,8.0,6.2,0.8,NotYet
58,2,8.3,5.8,-1.0,NotYet
58,2,8.4,5.7,-0.8,NotYet
58,2,8.4,5.7,-0.6,NotYet
58,2,8.4,5.6,-0.4,NotYet
58,2,8.4,5.7,-0.2,NotYet
58,2,8.3,5.8,0.0,NotYet
58,2,8.2,6.0,0.2,NotYet
58,2,8.1,6.1,0.4,NotYet
58,2,8.0,6.2,0.6,NotYet
58,2,8.1,6.1,0.8,NotYet
58,4,8.5,5.7,-1.0,NotYet
58,4,8.5,5.7,-0.8,NotYet
58,4,8.6,5.6,-0.6,NotYet
58,4,8.6,5.6,-0.4,NotYet
58,4,8.5,5.7,-0.2,NotYet
58,4,8.3,5.9,0.0,NotYet
58,4,8.2,6.1,0.2,NotYet
58,4,8.1,6.2,0.4,NotYet
58,4,8.1,6.2,0.6,NotYet
58,4,8.2,6.1,0.8,NotYet
58,6,8.7,5.7,-1.0,NotYet
58,6,8.7,5.6,-0.8,NotYet
58,6,8.7,5.6,-0.6,NotYet
58,6,8.7,5.6,-0.4,NotYet
58,6,8.5,5.8,-0.2,NotYet
58,6,8.4,6.0,0.0,NotYet
58,6,8.3,6.1,0.2,NotYet
58,6,8.2,6.2,0.4,NotYet
58,6,8.3,6.2,0.6,NotYet
58,6,8.3,6.1,0.8,NotYet
58,8,8.9,5.6,-1.0,NotYet
58,8,9.0,5.5,-0.8,NotYet
58,8,8.9,5.5,-0.6,NotYet
58,8,8.8,5.7,-0.4,NotYet
58,8,8.6,5.9,-0.2,NotYet
58,8,8.4,6.1,0.0,NotYet
58,8,8.4,6.2,0.2,NotYet
58,8,8.4,6.2,0.4,NotYet
58,8,8.4,6.2,0.6,NotYet
58,8,8.5,6.1,0.8,NotYet
58,10,9.2,5.5,-1.0,NotYet
58,10,9.1,5.5,-0.8,NotYet
58,10,9.1,5.5,-0.6,NotYet
58,10,8.9,5.7,-0.4,NotYet
58,10,8.7,6.0,-0.2,NotYet
58,10,8.6,6.1,0.0,NotYet
58,10,8.5,6.2,0.2,NotYet
58,10,8.5,6.2,0.4,NotYet
58,10,8.6,6.2,0.6,NotYet
58,10,8.7,6.1,0.8,NotYet
56,-10,8.6,5.8,-1.0,NotYet
56,-10,8.7,5.8,-0.8,NotYet
